"","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"19","sex:drug_treatment:health_status","Female:Low dose:Alzheimer's-Female:Placebo:Healthy",-9.61914444980822,-10.5619195208643,-8.67636937875213,4.97796359688607e-10
"20","sex:drug_treatment:health_status","Male:High Dose:Alzheimer's-Female:Placebo:Healthy",-1.80665906860594,-2.75422993102102,-0.85908820619086,5.04637337472857e-08
"21","sex:drug_treatment:health_status","Female:High Dose:Alzheimer's-Female:Placebo:Healthy",-2.10999447508897,-3.03935974570304,-1.18062920447491,5.20004150850184e-10
"22","sex:drug_treatment:health_status","Female:Low dose:Healthy-Male:Low dose:Healthy",0.034649200671474,-0.889062223236126,0.958360624579074,0.999999999999496
"23","sex:drug_treatment:health_status","Male:High Dose:Healthy-Male:Low dose:Healthy",0.770571745781769,-0.143855910604595,1.68499940216813,0.197926301363456
"24","sex:drug_treatment:health_status","Female:High Dose:Healthy-Male:Low dose:Healthy",0.430391651128108,-0.493319772779492,1.35410307503571,0.932180170656692
"25","sex:drug_treatment:health_status","Male:Placebo:Alzheimer's-Male:Low dose:Healthy",-12.8096835803082,-13.7197043307728,-11.8996628298436,4.97796359688607e-10
"26","sex:drug_treatment:health_status","Female:Placebo:Alzheimer's-Male:Low dose:Healthy",-13.0155855255385,-13.9441912003815,-12.0869798506955,4.97796359688607e-10
"27","sex:drug_treatment:health_status","Male:Low dose:Alzheimer's-Male:Low dose:Healthy",-10.2853538151513,-11.1997814715377,-9.37092615876493,4.97796359688607e-10
"28","sex:drug_treatment:health_status","Female:Low dose:Alzheimer's-Male:Low dose:Healthy",-9.61370201181642,-10.537413435724,-8.68999058790882,4.97796359688607e-10
"29","sex:drug_treatment:health_status","Male:High Dose:Alzheimer's-Male:Low dose:Healthy",-1.80121663061413,-2.72982230545714,-0.872610955771122,2.64222052015484e-08
"30","sex:drug_treatment:health_status","Female:High Dose:Alzheimer's-Male:Low dose:Healthy",-2.10455203709716,-3.01457278756176,-1.19453128663257,5.06285569024101e-10
"31","sex:drug_treatment:health_status","Male:High Dose:Healthy-Female:Low dose:Healthy",0.735922545110295,-0.187788878797305,1.6596339690179,0.274007555640028
"32","sex:drug_treatment:health_status","Female:High Dose:Healthy-Female:Low dose:Healthy",0.395742450456634,-0.537160358280993,1.32864525919426,0.964853302537971
"33","sex:drug_treatment:health_status","Male:Placebo:Alzheimer's-Female:Low dose:Healthy",-12.8443327809797,-13.7636818018468,-11.9249837601126,4.97796359688607e-10
"34","sex:drug_treatment:health_status","Female:Placebo:Alzheimer's-Female:Low dose:Healthy",-13.05023472621,-13.9879838159157,-12.1124856365043,4.97796359688607e-10
"35","sex:drug_treatment:health_status","Male:Low dose:Alzheimer's-Female:Low dose:Healthy",-10.3200030158228,-11.2437144397304,-9.39629159191517,4.97796359688607e-10
"36","sex:drug_treatment:health_status","Female:Low dose:Alzheimer's-Female:Low dose:Healthy",-9.64835121248789,-10.5812540212255,-8.71544840375027,4.97796359688607e-10
"37","sex:drug_treatment:health_status","Male:High Dose:Alzheimer's-Female:Low dose:Healthy",-1.83586583128561,-2.77361492099126,-0.898116741579948,1.8552776204217e-08
"38","sex:drug_treatment:health_status","Female:High Dose:Alzheimer's-Female:Low dose:Healthy",-2.13920123776864,-3.05855025863573,-1.21985221690154,5.03941777196815e-10
"39","sex:drug_treatment:health_status","Female:High Dose:Healthy-Male:High Dose:Healthy",-0.340180094653661,-1.26389151856126,0.583531329253939,0.98822691243864
"40","sex:drug_treatment:health_status","Male:Placebo:Alzheimer's-Male:High Dose:Healthy",-13.58025532609,-14.4902760765546,-12.6702345756254,4.97796359688607e-10
"41","sex:drug_treatment:health_status","Female:Placebo:Alzheimer's-Male:High Dose:Healthy",-13.7861572713203,-14.7147629461633,-12.8575515964773,4.97796359688607e-10
"42","sex:drug_treatment:health_status","Male:Low dose:Alzheimer's-Male:High Dose:Healthy",-11.0559255609331,-11.9703532173194,-10.1414979045467,4.97796359688607e-10
"43","sex:drug_treatment:health_status","Female:Low dose:Alzheimer's-Male:High Dose:Healthy",-10.3842737575982,-11.3079851815058,-9.46056233369059,4.97796359688607e-10
"44","sex:drug_treatment:health_status","Male:High Dose:Alzheimer's-Male:High Dose:Healthy",-2.5717883763959,-3.50039405123891,-1.64318270155289,4.97908270169489e-10
"45","sex:drug_treatment:health_status","Female:High Dose:Alzheimer's-Male:High Dose:Healthy",-2.87512378287893,-3.78514453334353,-1.96510303241434,4.97912266972378e-10
"46","sex:drug_treatment:health_status","Male:Placebo:Alzheimer's-Female:High Dose:Healthy",-13.2400752314363,-14.1594242523034,-12.3207262105692,4.97796359688607e-10
"47","sex:drug_treatment:health_status","Female:Placebo:Alzheimer's-Female:High Dose:Healthy",-13.4459771766666,-14.3837262663723,-12.508228086961,4.97796359688607e-10
"48","sex:drug_treatment:health_status","Male:Low dose:Alzheimer's-Female:High Dose:Healthy",-10.7157454662794,-11.639456890187,-9.7920340423718,4.97796359688607e-10
"49","sex:drug_treatment:health_status","Female:Low dose:Alzheimer's-Female:High Dose:Healthy",-10.0440936629445,-10.9769964716822,-9.1111908542069,4.97796359688607e-10
"50","sex:drug_treatment:health_status","Male:High Dose:Alzheimer's-Female:High Dose:Healthy",-2.23160828174224,-3.1693573714479,-1.29385919203658,4.99665420150563e-10
"51","sex:drug_treatment:health_status","Female:High Dose:Alzheimer's-Female:High Dose:Healthy",-2.53494368822527,-3.45429270909237,-1.61559466735818,4.97907159946465e-10
"52","sex:drug_treatment:health_status","Female:Placebo:Alzheimer's-Male:Placebo:Alzheimer's",-0.205901945230318,-1.1301683174751,0.71836442701446,0.999880255288826
"53","sex:drug_treatment:health_status","Male:Low dose:Alzheimer's-Male:Placebo:Alzheimer's",2.52432976515692,1.61430901469233,3.43435051562151,4.97907159946465e-10
"54","sex:drug_treatment:health_status","Female:Low dose:Alzheimer's-Male:Placebo:Alzheimer's",3.19598156849179,2.2766325476247,4.11533058935889,4.9781812005989e-10
"55","sex:drug_treatment:health_status","Male:High Dose:Alzheimer's-Male:Placebo:Alzheimer's",11.0084669496941,10.0842005774493,11.9327333219389,4.97796359688607e-10
"56","sex:drug_treatment:health_status","Female:High Dose:Alzheimer's-Male:Placebo:Alzheimer's",10.705131543211,9.79953914384585,11.6107239425762,4.97796359688607e-10
"57","sex:drug_treatment:health_status","Male:Low dose:Alzheimer's-Female:Placebo:Alzheimer's",2.73023171038724,1.80162603554423,3.65883738523025,4.97909824481724e-10
"58","sex:drug_treatment:health_status","Female:Low dose:Alzheimer's-Female:Placebo:Alzheimer's",3.40188351372211,2.46413442401645,4.33963260342777,4.97797691956237e-10
"59","sex:drug_treatment:health_status","Male:High Dose:Alzheimer's-Female:Placebo:Alzheimer's",11.2143688949244,10.2717984413577,12.1569393484911,4.97796359688607e-10
"60","sex:drug_treatment:health_status","Female:High Dose:Alzheimer's-Female:Placebo:Alzheimer's",10.9110334884414,9.98676711619659,11.8352998606861,4.97796359688607e-10
"61","sex:drug_treatment:health_status","Female:Low dose:Alzheimer's-Male:Low dose:Alzheimer's",0.671651803334873,-0.252059620572727,1.59536322724247,0.417281033585226
"62","sex:drug_treatment:health_status","Male:High Dose:Alzheimer's-Male:Low dose:Alzheimer's",8.48413718453716,7.55553150969415,9.41274285938017,4.97796359688607e-10
"63","sex:drug_treatment:health_status","Female:High Dose:Alzheimer's-Male:Low dose:Alzheimer's",8.18080177805413,7.27078102758953,9.09082252851872,4.97796359688607e-10
"64","sex:drug_treatment:health_status","Male:High Dose:Alzheimer's-Female:Low dose:Alzheimer's",7.81248538120229,6.87473629149663,8.75023447090794,4.97796359688607e-10
"65","sex:drug_treatment:health_status","Female:High Dose:Alzheimer's-Female:Low dose:Alzheimer's",7.50914997471925,6.58980095385216,8.42849899558635,4.97796359688607e-10
"66","sex:drug_treatment:health_status","Female:High Dose:Alzheimer's-Male:High Dose:Alzheimer's",-0.303335406483033,-1.22760177872781,0.620930965761746,0.99553145740094
